,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
BHN,2017-04-03 00:00:00,2025-08-19 00:00:00,2095 days 00:00:00,100.0,112.51401179176548,12.514011791765483,-49.98663790858383,100.0,0.4445411100510791,20.12987012987013,1885 days 00:00:00,2,2,0,0.0,50.0,16.02307692307694,-3.014084507042249,16.02307692307694,-3.014084507042249,23 days 00:00:00,23 days 00:00:00,4.582537585001175,6.25700589588274,0.25596903523791575,0.10310457456981661,1.2692087326594845,0.40658869753857624
BIC,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,340.16234655648685,240.16234655648688,186.15498901366357,100.0,3.167867756950092,12.496535620747471,975 days 00:00:00,9,8,1,84.47591714383799,87.5,27.84569672131147,-7.127372262773704,15.863157561512043,-7.127372262773704,42 days 03:25:42.857142857,9 days 00:00:00,11.238830244726863,19.460803676581108,1.1746021635349324,1.7135415565169203,1.6189310809215847,2.021957727821954
BID,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,120.63384730069076,20.63384730069076,156.56023469134627,100.0,3.620655685535261,38.249938048694204,1389 days 00:00:00,15,14,1,1.0617845727530977,28.57142857142857,54.93,-14.004363636363612,23.714399836759863,-6.0064469537103875,44 days 12:00:00,12 days 14:24:00,1.2440812945362065,1.398004480566975,0.2583787638586503,0.07889494792610352,1.1100395080483445,0.38968045766369347
BMP,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,75.05230102203417,-24.94769897796583,161.23984260919312,100.0,0.8237965721254684,26.474509221145325,1867 days 00:00:00,5,5,0,0.0,20.0,3.110526315789366,-17.829411764706084,3.110526315789366,-7.40482749081868,30 days 00:00:00,14 days 12:00:00,0.09186311822817303,-4.989539795593168,-0.578178999395366,-0.16795420515859977,0.6700142216266611,-0.7520214717198083
BSI,2016-06-06 00:00:00,2025-08-19 00:00:00,2297 days 00:00:00,100.0,161.96318501569215,61.96318501569213,791.9477670419377,100.0,3.279798281444722,37.35702639210833,1136 days 00:00:00,12,12,0,0.0,66.66666666666666,23.245918367346942,-11.80129032258062,11.86737290461906,-9.481398622969463,33 days 09:00:00,12 days 00:00:00,2.1075999705893733,5.163598751307677,0.45509547279964757,0.2131721301378547,1.1965953937977347,0.6693997220230479
BSR,2018-07-23 00:00:00,2025-08-19 00:00:00,1760 days 00:00:00,100.0,112.88834025999509,12.88834025999509,79.47062621045808,100.0,1.5286061939134534,27.34245631321311,580 days 00:00:00,6,6,0,0.0,33.33333333333333,28.924762219832967,-9.128929471032734,19.270623792770017,-5.420519350788043,57 days 12:00:00,12 days 18:00:00,1.4539683263127918,2.1480567099991763,0.26079437932804883,0.09311507541550681,1.1291835026148924,0.41853958291927446
BVB,2020-11-26 00:00:00,2025-08-19 00:00:00,1178 days 00:00:00,100.0,146.18611450512313,46.18611450512313,23.373325378859523,100.0,0.24623254685215795,18.063738108561825,1053 days 00:00:00,1,1,0,0.0,100.0,46.23230061962824,46.23230061962824,46.23230061962824,,28 days 00:00:00,,inf,46.18611450512313,0.8038209149672058,0.6911792911937727,2.180256249351046,1.9179638921334008
BVH,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,104.15209417445394,4.152094174453936,7.787414119048708,100.0,2.1324602498284464,27.73968100840547,1838 days 00:00:00,10,10,0,0.0,50.0,11.152272727272745,-11.52886597938144,8.439185552302988,-6.920120173423028,32 days 14:24:00,10 days 09:36:00,1.1065563826402565,0.41520941744539286,0.12035916686964013,0.02331855053096566,1.0552963048539707,0.16657089726912327
BWE,2017-12-07 00:00:00,2025-08-19 00:00:00,1921 days 00:00:00,100.0,110.17065665806976,10.17065665806976,138.47208422428642,100.0,1.7968743478545415,17.049319201444067,832 days 00:00:00,8,8,0,0.0,50.0,6.446572580645167,-5.184615384615372,4.551167421179402,-1.9788080383339082,36 days 06:00:00,11 days 06:00:00,2.1015747560031692,1.2713320822587184,0.22204623395003006,0.10894498076303523,1.1048716052649612,0.328171816315633
CC1,2017-12-07 00:00:00,2025-08-19 00:00:00,1921 days 00:00:00,100.0,111.0985654038121,11.098565403812103,57.231526184635804,100.0,1.0160863536859341,21.978123029910243,1379 days 00:00:00,5,5,0,0.0,60.0,19.45766414547795,-21.321714285714286,13.028953433319298,-11.27316483516482,30 days 08:00:00,10 days 00:00:00,1.4213995430854807,2.219713080762423,0.20558830434350778,0.09190449443951784,1.1933997656288828,0.2961925029041202
CEO,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,210.4198883411311,110.4198883411311,232.31347576142974,100.0,1.9872270368508287,43.89189189189189,1200 days 00:00:00,8,8,0,0.0,37.5,187.22706422018348,-19.17541899441339,68.51481587472702,-8.814436209596957,37 days 08:00:00,16 days 04:48:00,3.581193488408412,13.802486042641391,0.5511517617026914,0.2851043736053359,1.3380761813923305,0.8089410679851604
CHP,2016-06-06 00:00:00,2025-08-19 00:00:00,2299 days 00:00:00,100.0,129.92017447328988,29.920174473289872,76.42487046632233,100.0,3.339185126842195,26.41163702414563,1706 days 00:00:00,15,15,0,0.0,33.33333333333333,23.82738674058289,-7.753875236294881,12.776470613090357,-3.1570846751959953,48 days 00:00:00,15 days 04:48:00,1.8396650745916394,1.994678298219326,0.46194218734217,0.16065730695659336,1.2209350836881645,0.6907039647520542
CII,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,215.41019722834181,115.4101972283418,14.38392410602496,100.0,1.56870177328971,40.84628670120898,1167 days 00:00:00,7,6,1,92.78342048631909,83.33333333333334,24.19801980198021,-17.66095504291842,8.578601338064983,-17.66095504291842,33 days 04:48:00,13 days 00:00:00,1.8613033683870488,3.771129457003786,0.7189487640455892,0.31661429074510145,1.4119181212646559,1.1356110927615364
CMG,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,155.04912310032478,55.049123100324785,288.6768632011811,100.0,3.9124747990052917,62.98492444259697,1915 days 00:00:00,15,14,1,-7.493307857068402,42.857142857142854,53.33756906077347,-12.073360655737703,19.504650423197297,-6.028415730291632,37 days 00:00:00,13 days 00:00:00,1.9519002012792404,4.467316496956655,0.43994688212817,0.11428364526816892,1.1881142038047492,0.6705982130835794
CRE,2019-01-24 00:00:00,2025-08-19 00:00:00,1638 days 00:00:00,100.0,71.71549715988209,-28.28450284011791,-43.499719271308265,100.0,0.7488928535415971,45.33331891982843,1241 days 00:00:00,5,5,0,0.0,60.0,10.653443868093335,-32.657484318766045,4.348157415264332,-19.358501774767632,26 days 08:00:00,16 days 12:00:00,0.23972704037480447,-5.65690056802358,-0.14728414169435,-0.15751337286185826,0.890642584445154,-0.16305107496329513
CTD,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,171.9854026461029,71.9854026461029,-32.76208524478399,100.0,2.52884426336276,25.014932832832464,1326 days 00:00:00,11,11,0,0.0,45.45454545454545,37.137625000000014,-7.038392857142846,16.851908749236976,-3.2053363271311155,28 days 09:36:00,15 days 00:00:00,4.325524713258431,6.54412751328208,0.6520821386883625,0.3587448811297833,1.351837300694685,1.0575414433764347
CTG,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,117.85595925009417,17.855959250094173,298.86370315556354,100.0,2.742829116950381,20.826555652700048,1050 days 00:00:00,12,12,0,0.0,66.66666666666666,14.039140271493217,-10.982125178414172,6.582804717286124,-8.104795406229998,31 days 00:00:00,10 days 06:00:00,1.4485293608254963,1.4879966041745116,0.2400077845919875,0.12666803743564994,1.1058963671464161,0.34543062137769825
CTR,2018-03-27 00:00:00,2025-08-19 00:00:00,1844 days 00:00:00,100.0,257.6573575138855,157.65735751388544,713.848920708244,100.0,5.17056723412927,33.197416473827005,1136 days 00:00:00,13,13,0,0.0,46.15384615384615,85.70240345134687,-10.099282165936556,26.970154429442,-4.818693132172643,35 days 12:00:00,14 days 03:25:42.857142857,3.1599246702734174,12.127489039529646,0.8747545404003639,0.6206485892684853,1.407986621091429,1.2782250379900413
CTS,2016-06-06 00:00:00,2025-08-19 00:00:00,2300 days 00:00:00,100.0,84.20518430996643,-15.794815690033573,578.1222208105705,100.0,1.9039642619723507,46.5057028705456,2091 days 00:00:00,10,10,0,0.0,30.0,21.316923076923093,-23.004395188428315,12.485684195545439,-6.833513573079883,40 days 08:00:00,18 days 00:00:00,0.6732905372831404,-1.5794815690033563,-0.02906003787385306,-0.05787067640429001,0.9864579360497995,-0.03776309052492029
DBC,2016-06-06 00:00:00,2025-08-19 00:00:00,2297 days 00:00:00,100.0,116.96132326630533,16.961323266305328,8.589077102785803,100.0,0.6355907286081472,15.3386655867166,1350 days 00:00:00,3,3,0,0.0,66.66666666666666,14.23000000000001,-4.212048192771074,10.569494382022473,-4.212048192771074,42 days 12:00:00,11 days 00:00:00,4.770633267029162,5.6537744221017725,0.28817491746485685,0.16434483747044787,1.2371699980805833,0.4282328874628025
DBD,2017-06-14 00:00:00,2025-08-19 00:00:00,2042 days 00:00:00,100.0,92.50652531836782,-7.493474681632178,49.3442946086339,100.0,0.9309388946906049,11.416522997241435,1437 days 00:00:00,5,5,0,0.0,40.0,2.2797872340425647,-4.924999999999984,1.564762268509912,-3.5564710900889516,21 days 00:00:00,17 days 00:00:00,0.2743593241376877,-1.4986949363264344,-0.17554758109249777,-0.12110742648362786,0.8849522571833356,-0.25868111291410256
DCM,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,78.37145337283921,-21.628546627160787,386.8862021376294,100.0,1.8746470713945813,32.78165867891198,1143 days 00:00:00,10,10,0,0.0,20.0,33.52662693661973,-17.90206043956044,18.399332425655846,-6.672299157597126,31 days 00:00:00,14 days 03:00:00,0.5944115911773291,-2.162854662716077,-0.21374430138757192,-0.11557974521601035,0.8937138756139601,-0.2999147019950857
DDV,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,44.524442237217215,-55.47555776278279,322.50031606996356,100.0,1.7155379994669044,57.35126937858864,2098 days 00:00:00,15,15,0,0.0,26.666666666666668,42.34220560353907,-28.686596583442824,13.830603214125887,-10.768001297488599,26 days 18:00:00,11 days 17:27:16.363636363,0.3124226213865251,-3.6983705175188524,-0.28574356234203613,-0.2098582879123603,0.8651041694173831,-0.4069809061569234
DGC,2016-06-06 00:00:00,2025-08-19 00:00:00,2298 days 00:00:00,100.0,121.5460868226972,21.546086822697205,275.5983029472644,100.0,2.8695978231029766,61.66123487724826,1064 days 00:00:00,11,11,0,0.0,45.45454545454545,23.185681818181695,-30.87483690896764,17.638250883942312,-9.114844052017585,43 days 19:12:00,20 days 12:00:00,1.2526624101351649,1.958735165699748,0.30959572941044394,0.05104897721061317,1.1878615333279672,0.3581213312579698
DGW,2016-06-06 00:00:00,2025-08-19 00:00:00,2303 days 00:00:00,100.0,168.78232558691133,68.78232558691133,192.20759826728133,100.0,4.120016784722198,30.515834189314305,967 days 00:00:00,15,14,1,-5.430885797833781,57.14285714285714,63.42306006859666,-10.174761016949134,14.86199058465175,-7.312941180442155,28 days 03:00:00,14 days 00:00:00,1.96140494328035,5.30094367033894,0.557033010940302,0.28345182700844335,1.2488100003219438,0.8557087650625264
