,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
AAA,2016-06-06 00:00:00,2025-08-20 00:00:00,2299 days 00:00:00,100.0,101.33265782253214,1.3326578225321413,-44.47354705849435,100.0,1.9299189118492954,23.264737576855026,1148 days 00:00:00,9,9,0,0.0,44.44444444444444,12.830434782607874,-11.399551569506713,6.71236983510875,-4.680066251433998,27 days 18:00:00,14 days 04:48:00,1.0510901778059683,0.14807309139245906,0.08611280839770834,0.009043842347479169,1.0450052550013271,0.12570837307105703
AAS,2020-12-10 00:00:00,2025-08-20 00:00:00,1169 days 00:00:00,100.0,27.63557075814954,-72.36442924185046,171.9495091164087,100.0,0.5964874688022576,73.90898155199065,1090 days 00:00:00,5,5,0,0.0,0.0,-14.795163385630044,-34.121800715699464,,-22.33137556225511,,12 days 04:48:00,0.0,-14.472885848370092,-1.1936924663878705,-0.447468571470882,0.2815242429282041,-1.2289218534589004
ABB,2021-05-27 00:00:00,2025-08-20 00:00:00,1058 days 00:00:00,100.0,88.79169040076442,-11.208309599235577,-36.55208234960847,100.0,0.567168263705993,12.648799624135282,507 days 00:00:00,3,3,0,0.0,0.0,-1.6024595687331424,-7.736124454148449,,-3.8488747412955373,,11 days 16:00:00,0.0,-3.7361031997451923,-0.9781087840348937,-0.3176735476273517,0.43969100289863555,-1.1934191267397265
ABI,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,164.80740736788718,64.80740736788718,111.70892494508192,100.0,3.5438433113415693,19.78304977138961,951 days 00:00:00,13,13,0,0.0,61.53846153846154,25.801317888340584,-8.636554999999438,10.860649072694567,-5.888630536606163,34 days 21:00:00,17 days 04:48:00,2.6446119946946776,4.98518518214517,0.47807400142547446,0.41633803005224546,1.210735967941397,0.7326064442702578
ABW,2023-10-18 00:00:00,2025-08-20 00:00:00,459 days 00:00:00,100.0,100.0,0.0,19.660551358775912,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf
ACB,2016-06-06 00:00:00,2025-08-20 00:00:00,2300 days 00:00:00,100.0,103.62395568235044,3.6239556823504415,252.1235138683873,100.0,3.071841390834051,38.85900890308476,1836 days 00:00:00,14,14,0,0.0,28.57142857142857,32.421845513251895,-14.730909090909087,13.198601429684095,-4.20426900809421,41 days 00:00:00,13 days 14:24:00,1.0728530808765393,0.2588539773107468,0.11512573128002349,0.014579092122101105,1.0519488614288777,0.1541061248558452
ACC,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,106.05006540356221,6.050065403562215,0.2911015599504019,100.0,0.8599938176251025,12.101568074782556,2280 days 00:00:00,4,4,0,0.0,25.0,9.528089887641144,-2.2527397260273876,9.528089887641144,-1.0645104483402714,24 days 00:00:00,10 days 00:00:00,2.744285740237778,1.5125163508905555,0.1655950768123884,0.0772561735051984,1.1878497770944574,0.24670247402354506
ACG,2021-12-23 00:00:00,2025-08-20 00:00:00,903 days 00:00:00,100.0,97.20596261609923,-2.794037383900772,-37.557518985829084,100.0,0.19720336578206396,2.88294375925793,725 days 00:00:00,1,1,0,0.0,0.0,-2.7968314212846774,-2.7968314212846774,,-2.7968314212846774,,15 days 00:00:00,0.0,-2.794037383900777,-0.7176232510841201,-0.39505288006135714,0.39372616009111944,-0.7752333261619825
ACV,2017-04-18 00:00:00,2025-08-20 00:00:00,2086 days 00:00:00,100.0,271.01001026430487,171.01001026430487,31.906508168509905,100.0,2.637645807395893,15.05232037233445,1578 days 00:00:00,6,6,0,0.0,66.66666666666666,112.18572363388584,-3.782477026404478,36.5828337815816,-3.0030762756303573,54 days 06:00:00,14 days 00:00:00,12.13786630868817,28.501668377384146,1.339725132387371,1.2661803212923264,1.7893255488180198,2.5289670893279053
AGG,2020-06-09 00:00:00,2025-08-20 00:00:00,1300 days 00:00:00,100.0,117.88618949060258,17.886189490602575,-13.169366474833444,100.0,0.706405362634662,18.65063943539434,1120 days 00:00:00,4,3,1,22.880587956977692,33.33333333333333,10.235023041474676,-11.08196428571427,10.235023041474676,-7.08111871341859,25 days 00:00:00,12 days 12:00:00,0.6718356059342745,-1.6647994887917088,0.45023663147703397,0.2535264135272151,1.3055307192618821,0.7387016694018443
AGR,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,100.69319039244647,0.6931903924464677,534.4827586206931,100.0,2.384447318451762,51.17195502348708,2101 days 00:00:00,14,14,0,0.0,35.714285714285715,41.6186046511628,-15.843681318681307,16.234969745494503,-7.41854909938628,36 days 00:00:00,11 days 21:20:00,1.0119188727430626,0.049513599460461855,0.11214631529294163,0.002139772790490127,1.0454788008593858,0.16276588506794018
AGX,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,74.04970039312906,-25.950299606870942,654.4988386223847,100.0,1.1850281395468163,49.14902932406893,2014 days 00:00:00,9,9,0,0.0,44.44444444444444,19.14064000000003,-36.74878048780478,9.165142091690562,-10.993220318692684,27 days 12:00:00,26 days 19:12:00,0.4634243678352501,-2.883366622985661,-0.03903448794030253,-0.09456926220994563,0.9592297502199566,-0.05045182448358517
ANV,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,389.0774455602745,289.0774455602745,890.6774638140475,100.0,6.903555251255533,29.206654827469908,1834 days 00:00:00,9,9,0,0.0,77.77777777777779,121.45109298190495,-18.98567870485678,33.43443354577079,-12.71471435242838,37 days 10:17:08.571428571,6 days 12:00:00,3.365875179211427,32.11971617336384,1.0847818857882905,0.8222380154976827,1.5671584121953543,1.7919506227641768
APF,2017-10-26 00:00:00,2025-08-20 00:00:00,1953 days 00:00:00,100.0,63.25032730015766,-36.74967269984234,106.26497793790865,100.0,0.9487257088477705,41.916985022428,1309 days 00:00:00,6,6,0,0.0,16.666666666666664,12.549106040666617,-32.443679507716325,12.549106040666617,-10.004180334958416,37 days 00:00:00,10 days 14:24:00,0.22166583436829176,-6.124945449973726,-0.35392610801880664,-0.1957379583060761,0.6927651840182485,-0.39662649729010013
APG,2016-06-06 00:00:00,2025-08-20 00:00:00,2299 days 00:00:00,100.0,95.92311393688948,-4.076886063110521,37.6470588235289,100.0,2.097389673779684,29.569371572363202,1667 days 00:00:00,11,11,0,0.0,36.36363636363637,22.475914249684738,-16.337692307692294,11.150309052247588,-6.136055386172478,27 days 06:00:00,10 days 13:42:51.428571428,0.9081751582113677,-0.3706260057373201,0.04086546930366925,-0.022274768823085593,1.0221490535443423,0.05738044842151643
APH,2020-12-15 00:00:00,2025-08-20 00:00:00,1166 days 00:00:00,100.0,104.70456021273753,4.704560212737533,-89.50019750336705,100.0,0.41804296874704017,14.466019417475732,502 days 00:00:00,2,2,0,0.0,50.0,6.673309608540936,-1.841292442497247,6.673309608540936,-1.841292442497247,34 days 00:00:00,29 days 00:00:00,3.3977379169829525,2.3522801063687693,0.19980092040074676,0.10020098309215215,1.1296814128482033,0.2995515163844836
ASG,2021-02-18 00:00:00,2025-08-20 00:00:00,1119 days 00:00:00,100.0,100.0,0.0,-52.90858725761777,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf
ASM,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,125.98894236465094,25.988942364650942,-30.09475554402423,100.0,0.7870141268914799,43.57931271932875,1136 days 00:00:00,3,3,0,0.0,66.66666666666666,60.435820895522404,-25.123508270545454,32.66166044776121,-25.123508270545454,48 days 00:00:00,14 days 00:00:00,1.6456609536205893,8.662980788216977,0.2931278479476662,0.08553790520343077,1.2257416992078751,0.3767641724864975
AST,2018-06-04 00:00:00,2025-08-20 00:00:00,1804 days 00:00:00,100.0,109.45931018895779,9.459310188957787,33.36937355709833,100.0,1.832590546823473,14.765142008037232,1421 days 00:00:00,9,8,1,-5.0228570455767,62.5,25.380665338071474,-7.285106382978716,6.215146278908357,-4.7575412844931035,30 days 00:00:00,10 days 00:00:00,1.9437424076899688,1.8102709043168126,0.2158936897312474,0.12499165497109936,1.1014871210741504,0.3246019793924222
AVC,2018-06-06 00:00:00,2025-08-20 00:00:00,1802 days 00:00:00,100.0,75.55660198345835,-24.44339801654165,139.8139150394327,100.0,2.2035283141548563,32.416587015622454,1610 days 00:00:00,14,14,0,0.0,28.57142857142857,9.707438016528924,-10.427894820212241,6.723623764585137,-5.211010765935042,28 days 06:00:00,13 days 19:12:00,0.4404801381629449,-1.7459570011815455,-0.19963805710738577,-0.17025727212467925,0.8851143814497214,-0.2733785309840003
BAB,2018-05-29 00:00:00,2025-08-20 00:00:00,1804 days 00:00:00,100.0,110.33794036007669,10.337940360076686,-12.228969905554877,100.0,0.8306710771291703,16.770057199074056,1106 days 00:00:00,4,4,0,0.0,25.0,16.58320000000001,-2.9944055944055763,16.58320000000001,-1.8120853402889898,18 days 00:00:00,18 days 16:00:00,2.7741377593177248,2.584485090019167,0.26393033797875365,0.1198802519377882,1.3664756565521208,0.5666225976740628
BAF,2022-05-04 00:00:00,2025-08-20 00:00:00,825 days 00:00:00,100.0,127.82559996145795,27.825599961457954,19.166217807245832,100.0,1.106449094643287,11.608616620152581,437 days 00:00:00,5,5,0,0.0,60.0,17.011900532859695,-3.1016597510373343,10.14132428226376,-2.029957010243517,26 days 00:00:00,13 days 12:00:00,7.070877573033433,5.565119992291589,0.9795807419323423,0.9883314718632203,1.5005898126523547,1.9788503553000125
BBC,2016-06-06 00:00:00,2025-08-20 00:00:00,2297 days 00:00:00,100.0,147.89384780966327,47.89384780966326,22.10775888232814,100.0,2.3041201408304905,28.815985810013846,1147 days 00:00:00,8,8,0,0.0,62.5,34.354452054794514,-6.806290322580649,11.590036527245399,-4.1408391655885195,30 days 04:48:00,9 days 08:00:00,3.3930762971606505,5.98673097620791,0.455464367885705,0.22264260439289998,1.2977764425799507,0.6927186556990201
BCF,2020-08-05 00:00:00,2025-08-20 00:00:00,1260 days 00:00:00,100.0,72.22561893829614,-27.774381061703863,5.9561259973444525,100.0,1.1952853908217043,30.015686468597085,738 days 00:00:00,7,7,0,0.0,28.57142857142857,5.057894736842116,-12.359945844504013,2.566550674206194,-7.17568319004992,22 days 12:00:00,14 days 14:24:00,0.12366461652495853,-3.9677687231005523,-0.6414862271451005,-0.29967611512052533,0.5827351450310541,-0.734675008170897
BCG,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,68.5259148753667,-31.474085124633305,-19.858867081414942,100.0,1.900232105355005,44.80110329032225,948 days 00:00:00,10,10,0,0.0,50.0,9.947210300429608,-25.64269662921348,3.943001675557214,-10.29363615653815,24 days 00:00:00,13 days 00:00:00,0.3604198964032772,-3.1474085124633304,-0.19947949906390064,-0.1297264007177087,0.8976665420779895,-0.25268569249285144
BCM,2018-07-13 00:00:00,2025-08-20 00:00:00,1768 days 00:00:00,100.0,201.84634373387468,101.84634373387469,398.16280384397675,100.0,1.8442713573518121,17.570684032948158,763 days 00:00:00,6,6,0,0.0,66.66666666666666,37.23765319537575,-9.532991321118589,24.740310607487377,-7.689756530124503,39 days 18:00:00,11 days 00:00:00,5.809415845561967,16.97439062231244,0.8737608054683061,0.8880410583252664,1.5044855406694226,1.5784312645867058
BFC,2016-06-06 00:00:00,2025-08-20 00:00:00,2305 days 00:00:00,100.0,187.2280660831151,87.22806608311508,200.5267810810368,100.0,3.2368435298284353,21.342176615152354,1034 days 00:00:00,11,11,0,0.0,54.54545454545454,31.51137614678901,-15.042285714285681,18.635933621161307,-7.1589168013909275,32 days 04:00:00,15 days 04:48:00,2.630872427462903,7.929824189374093,0.6546540374915331,0.4892190061983925,1.3168772964526272,1.0230560166018081
BGE,2024-12-19 00:00:00,2025-08-20 00:00:00,165 days 00:00:00,100.0,100.61880565477689,0.6188056547768923,-36.12491128459902,100.0,0.09990009990008275,0.09990009990008275,1 days 00:00:00,1,0,1,0.6188056547768923,,,,,,,,,,1.267564054266706,13.753831035917493,7.201438848922073,9.223524924648427
BHA,2017-12-20 00:00:00,2025-08-20 00:00:00,1913 days 00:00:00,100.0,65.41777132773142,-34.582228672268585,68.4246980953459,100.0,1.5899259225682547,58.65758182095645,1573 days 00:00:00,12,12,0,0.0,25.0,33.93512564859092,-21.030577142857133,12.106598824861035,-7.686668753132817,36 days 16:00:00,11 days 21:20:00,0.34322546007996374,-2.881852389355715,-0.15970410306915098,-0.13259917381340142,0.8985541171180259,-0.22164697294618918
BHN,2017-04-03 00:00:00,2025-08-20 00:00:00,2096 days 00:00:00,100.0,112.51401179176548,12.514011791765483,-49.98663790858383,100.0,0.4445411100510791,20.12987012987013,1886 days 00:00:00,2,2,0,0.0,50.0,16.02307692307694,-3.014084507042249,16.02307692307694,-3.014084507042249,23 days 00:00:00,23 days 00:00:00,4.582537585001175,6.25700589588274,0.2559079848270669,0.10305487671866753,1.2692087326594845,0.40649169438855237
BIC,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,327.7928066817055,227.79280668170549,175.7493530495303,100.0,3.167867756950092,12.496535620747471,975 days 00:00:00,9,8,1,72.10637726905662,87.5,27.84569672131147,-7.127372262773704,15.863157561512043,-7.127372262773704,42 days 03:25:42.857142857,9 days 00:00:00,11.238830244726863,19.460803676581108,1.1382518454289339,1.6558822340398098,1.5918761581607495,1.9471631011728576
BID,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,120.19088335711417,20.190883357114174,155.61815304621277,100.0,3.620655685535261,38.249938048694204,1390 days 00:00:00,15,14,1,0.6188206291765113,28.57142857142857,54.93,-14.004363636363612,23.714399836759863,-6.0064469537103875,44 days 12:00:00,12 days 14:24:00,1.2440812945362065,1.398004480566975,0.25493543403576874,0.07729107006141289,1.1084447578891203,0.38447056965438114
BMI,2016-06-06 00:00:00,2025-08-20 00:00:00,2305 days 00:00:00,100.0,71.17013037750529,-28.829869622494712,31.633328816011243,100.0,1.9589573816396562,34.55279195784466,2225 days 00:00:00,11,11,0,0.0,27.27272727272727,12.078212290502814,-9.436037735849057,5.941572668295978,-6.165570540543279,28 days 16:00:00,13 days 03:00:00,0.3463831931162588,-2.620897238408612,-0.3927265096315819,-0.1517398355388566,0.8157773700083885,-0.5348972512542354
BMP,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,75.05230102203417,-24.94769897796583,154.70884654396326,100.0,0.8237965721254684,26.474509221145325,1868 days 00:00:00,5,5,0,0.0,20.0,3.110526315789366,-17.829411764706084,3.110526315789366,-7.40482749081868,30 days 00:00:00,14 days 12:00:00,0.09186311822817303,-4.989539795593168,-0.5780534524575889,-0.16788295291457372,0.6700142216266611,-0.7518582549036222
BRR,2017-11-03 00:00:00,2025-08-20 00:00:00,1946 days 00:00:00,100.0,135.0542305970827,35.05423059708269,138.5925564474931,100.0,2.0702431936777654,34.73755341840865,957 days 00:00:00,8,8,0,0.0,37.5,41.31688311688452,-15.185000000000251,27.302109933268383,-7.589955246565508,47 days 16:00:00,8 days 19:12:00,1.640618558561849,4.381778824635338,0.34158810429661973,0.16691719885093953,1.2400474613767338,0.5189749939205239
BSA,2019-01-09 00:00:00,2025-08-20 00:00:00,1650 days 00:00:00,100.0,88.89826208862523,-11.10173791137477,96.38360938457534,100.0,2.768628553733772,32.758412709143535,949 days 00:00:00,14,14,0,0.0,35.714285714285715,9.80145407122674,-12.310218085106376,5.6456618647197,-4.1796500363322115,32 days 19:12:00,10 days 00:00:00,0.7167101092882701,-0.7929812793839122,-0.09773295831812313,-0.07844032677078132,0.9536811293635141,-0.12847282056342071
BSI,2016-06-06 00:00:00,2025-08-20 00:00:00,2298 days 00:00:00,100.0,161.96318501569215,61.96318501569213,843.2471747938858,100.0,3.279798281444722,37.35702639210833,1137 days 00:00:00,12,12,0,0.0,66.66666666666666,23.245918367346942,-11.80129032258062,11.86737290461906,-9.481398622969463,33 days 09:00:00,12 days 00:00:00,2.1075999705893733,5.163598751307677,0.45499642904087634,0.2130757682374712,1.1965953937977347,0.669254057845059
BSR,2018-07-23 00:00:00,2025-08-20 00:00:00,1761 days 00:00:00,100.0,112.88834025999509,12.88834025999509,91.73660426081314,100.0,1.5286061939134534,27.34245631321311,580 days 00:00:00,6,6,0,0.0,33.33333333333333,28.924762219832967,-9.128929471032734,19.270623792770017,-5.420519350788043,57 days 12:00:00,12 days 18:00:00,1.4539683263127918,2.1480567099991763,0.26072034985539544,0.09306153207573822,1.1291835026148924,0.41842073027370924
BTH,2018-02-21 00:00:00,2025-08-20 00:00:00,1874 days 00:00:00,100.0,116.87940548624782,16.87940548624782,820.5000000000015,100.0,1.099328810087064,48.933408372180935,651 days 00:00:00,6,6,0,0.0,50.0,37.57837037037037,-20.662509203357374,23.707628833134212,-13.838506855664573,40 days 08:00:00,14 days 00:00:00,1.4044689254236487,2.8132342477079666,0.2601927307223623,0.06303463072826056,1.1770999011194605,0.3905351596172613
BVB,2020-11-26 00:00:00,2025-08-20 00:00:00,1179 days 00:00:00,100.0,146.18611450512313,46.18611450512313,30.876924761688464,100.0,0.24623254685215795,18.063738108561825,1054 days 00:00:00,1,1,0,0.0,100.0,46.23230061962824,46.23230061962824,46.23230061962824,,28 days 00:00:00,,inf,46.18611450512313,0.8034796374774315,0.6905579178157627,2.180256249351046,1.9171503337120117
BVH,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,104.15209417445394,4.152094174453936,4.617196056723727,100.0,2.1324602498284464,27.73968100840547,1839 days 00:00:00,10,10,0,0.0,50.0,11.152272727272745,-11.52886597938144,8.439185552302988,-6.920120173423028,32 days 14:24:00,10 days 09:36:00,1.1065563826402565,0.41520941744539286,0.12033305473114947,0.02330839698338198,1.0552963048539707,0.16653474514774916
BVL,2021-11-01 00:00:00,2025-08-20 00:00:00,948 days 00:00:00,100.0,124.78652490283781,24.78652490283781,-4.589848448400247,100.0,0.22481153623925976,14.285714285714274,894 days 00:00:00,1,1,0,0.0,100.0,24.811311427740645,24.811311427740645,24.811311427740645,,23 days 00:00:00,,inf,24.78652490283781,0.5520761728798131,0.6229773561639206,1.7890815455591158,1.100120592851998
BVS,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,82.67420161487446,-17.325798385125537,290.82469495977625,100.0,1.6128853202289832,42.08671104221943,2029 days 00:00:00,9,9,0,0.0,55.55555555555556,21.88032345013478,-15.763368421052615,7.857633790058663,-13.004555500823974,27 days 14:24:00,12 days 00:00:00,0.6396807381928175,-1.9250887094583908,-0.10366384519660078,-0.07054887698858127,0.9456697591162535,-0.14637880766858685
BWE,2017-12-07 00:00:00,2025-08-20 00:00:00,1922 days 00:00:00,100.0,110.17065665806976,10.17065665806976,132.18377368693197,100.0,1.7968743478545415,17.049319201444067,833 days 00:00:00,8,8,0,0.0,50.0,6.446572580645167,-5.184615384615372,4.551167421179402,-1.9788080383339082,36 days 06:00:00,11 days 06:00:00,2.1015747560031692,1.2713320822587184,0.22198848433850726,0.10888777470683436,1.1048716052649612,0.3280864327272708
BWS,2018-04-24 00:00:00,2025-08-20 00:00:00,1830 days 00:00:00,100.0,43.281191653726545,-56.718808346273455,88.50868178239564,100.0,2.5481860005928807,58.060512946740204,1785 days 00:00:00,19,19,0,0.0,21.052631578947366,3.325882352941108,-13.698733656686152,1.5468304038338576,-5.698162552344824,21 days 00:00:00,10 days 19:12:00,0.07391093598095749,-2.9852004392775493,-0.23582329036563765,-0.2649444837479826,0.8846882767727254,-0.31616913558412063
C4G,2019-05-13 00:00:00,2025-08-20 00:00:00,1571 days 00:00:00,100.0,93.77607524341262,-6.22392475658738,22.16525247001966,100.0,1.5145789530371614,29.229647438433464,897 days 00:00:00,7,7,0,0.0,28.57142857142857,31.33436263976213,-15.912271999999986,20.073465333478048,-7.9158364759142845,39 days 12:00:00,15 days 09:36:00,0.857486293752189,-0.8891321080839143,0.021434267180282116,-0.05069892026080748,1.0106819739916622,0.033376970631338855
CC1,2017-12-07 00:00:00,2025-08-20 00:00:00,1922 days 00:00:00,100.0,111.0985654038121,11.098565403812103,56.82989257325175,100.0,1.0160863536859341,21.978123029910243,1379 days 00:00:00,5,5,0,0.0,60.0,19.45766414547795,-21.321714285714286,13.028953433319298,-11.27316483516482,30 days 08:00:00,10 days 00:00:00,1.4213995430854807,2.219713080762423,0.2055348361290259,0.09185619786900596,1.1933997656288828,0.296115439678436
CDN,2016-08-19 00:00:00,2025-08-20 00:00:00,2247 days 00:00:00,100.0,67.92777199717035,-32.07222800282965,27.164161706987123,100.0,2.6266311964314024,45.16214648000911,1242 days 00:00:00,15,15,0,0.0,20.0,13.932195121951233,-8.857999999999983,5.102562370932657,-4.303403111026931,15 days 00:00:00,13 days 06:00:00,0.3072966934839095,-2.1381485335219743,-0.26222929708709286,-0.13481807111302016,0.8703889773728631,-0.35194492161403945
CEO,2016-06-06 00:00:00,2025-08-20 00:00:00,2304 days 00:00:00,100.0,210.4198883411311,110.4198883411311,218.7747786007789,100.0,1.9872270368508287,43.89189189189189,1200 days 00:00:00,8,8,0,0.0,37.5,187.22706422018348,-19.17541899441339,68.51481587472702,-8.814436209596957,37 days 08:00:00,16 days 04:48:00,3.581193488408412,13.802486042641391,0.5510320935172371,0.2849731954252773,1.3380761813923305,0.8087654974854289
